"Date","Start.of.Night","Time.to.Z","Total.Z","Time.in.Wake","Rise.Time","Morning.Caffeine.r","Morning.Caffeine","Caffeine","MP"
2014-07-09,445,20,640,26,651,0,NA,0,2
2014-07-10,510,79,473,27,596,1,NA,1,4
2014-07-11,525,24,421,38,636,0,NA,0,4
2014-07-12,500,18,577,28,636,0,NA,0,2
2014-07-13,510,24,477,26,601,1,NA,1,3
2014-07-14,455,25,550,25,556,1,NA,1,3
2014-07-15,445,25,490,54,531,0,NA,0,4
2014-07-16,440,29,490,10,486,1,NA,1,4
2014-07-17,450,22,554,15,546,NA,NA,NA,4
2014-07-18,460,23,543,27,541,0,NA,0,3
2014-07-19,455,15,527,26,511,1,NA,1,3
2014-07-20,430,22,536,13,491,0,NA,0,3
2014-07-21,470,12,501,17,496,1,NA,1,3
2014-07-22,445,19,533,11,511,0,NA,0,3
2014-07-23,495,13,508,22,516,1,NA,1,2
2014-07-24,390,28,592,24,521,0,NA,0,2
2014-07-25,450,24,524,12,516,NA,NA,NA,3
2014-07-26,485,15,487,14,521,0,NA,0,4
2014-07-27,470,15,537,12,541,1,NA,1,4
2014-07-28,450,23,551,11,546,NA,NA,NA,3
2014-07-29,470,17,499,10,501,0,NA,0,3
2014-07-30,440,16,538,24,511,1,NA,1,3
2014-07-31,505,26,458,26,521,NA,NA,NA,4
2014-08-01,515,13,520,17,571,0,NA,0,3
2014-08-02,460,23,560,19,566,1,NA,1,3
2014-08-03,470,24,517,36,551,0,NA,0,3
2014-08-04,565,7,454,17,591,1,NA,1,4
2014-08-05,470,24,420,26,541,0,NA,0,3
2014-08-06,510,17,541,23,596,1,NA,1,4
2014-08-07,465,26,552,62,611,0,NA,0,4
2014-08-08,565,21,456,33,611,1,NA,1,3
2014-08-09,500,21,534,9,646,0,NA,0,3
2014-08-10,465,29,605,15,616,1,NA,1,2
2014-08-11,510,23,554,22,601,0,NA,0,2
2014-08-12,435,26,633,22,626,1,NA,1,2
2014-08-13,490,21,555,23,596,NA,NA,NA,3
2014-08-14,440,15,550,36,581,0,NA,0,4
2014-08-15,450,39,592,41,616,1,NA,1,4
2014-08-16,415,57,589,19,611,1,NA,1,3
2014-08-17,470,52,564,20,636,0,NA,0,3
2014-08-18,485,28,437,21,561,1,NA,1,3
2014-08-19,460,16,631,17,631,0,NA,0,3
2014-08-20,475,23,479,29,546,1,NA,1,3
2014-08-21,445,26,611,15,601,0,NA,0,4
2014-08-22,495,21,570,10,601,0,NA,0,3
2014-08-23,475,15,548,21,586,1,NA,1,4
2014-08-24,470,26,556,26,566,1,NA,1,4
2014-08-25,460,24,591,12,586,0,NA,0,4
2014-08-26,480,24,544,14,576,NA,NA,NA,3
2014-08-27,465,26,569,12,576,0,NA,0,4
2014-08-28,470,29,567,34,636,1,NA,1,4
2014-08-29,460,21,507,42,496,0,NA,0,3
2014-08-30,505,25,451,22,506,1,NA,1,4
2014-08-31,505,9,507,11,596,1,NA,1,3
2014-09-01,470,25,554,10,576,0,NA,0,3
2014-09-02,460,20,540,19,526,1,NA,1,2
2014-09-03,455,25,513,6,536,0,NA,0,4
2014-09-04,460,33,478,6,541,1,NA,1,3
2014-09-05,430,36,514,55,611,0,NA,0,3
2014-09-06,445,15,543,26,531,0,NA,0,4
2014-09-07,465,21,551,12,556,1,NA,1,4
2014-09-08,525,29,446,25,546,1,NA,1,4
2014-09-09,510,15,510,5,546,0,NA,0,3
2014-09-10,450,24,579,17,596,1,NA,1,4
2014-09-11,465,20,512,22,531,0,NA,0,4
2014-09-12,460,15,569,16,556,1,NA,1,4
2014-09-13,460,24,574,13,561,0,NA,0,3
2014-09-14,465,21,505,30,511,1,NA,1,3
2014-09-15,450,13,515,16,516,0,NA,0,4
2014-09-16,515,17,501,18,541,1,NA,1,4
2014-09-17,485,50,459,33,531,0,NA,0,3
2014-09-18,455,31,533,50,546,1,NA,1,3
2014-09-19,425,27,536,66,526,0,NA,0,3
2014-09-20,525,15,488,17,521,1,NA,1,4
2014-09-21,475,34,540,36,596,0,NA,0,3
2014-09-22,485,30,538,50,591,1,NA,1,3
2014-09-23,450,13,548,7,536,NA,NA,NA,3
2014-09-24,470,28,429,19,456,NA,NA,NA,3
2014-09-25,465,28,455,167,646,NA,NA,NA,4
2014-09-26,470,26,518,7,521,NA,NA,NA,4
2014-09-27,470,36,579,13,591,NA,NA,NA,3
2014-09-27,470,36,579,13,591,NA,NA,NA,3
2014-09-28,510,19,576,32,626,0,NA,0,4
2014-09-29,510,35,521,42,581,1,NA,1,4
2014-09-30,475,16,562,23,651,0,NA,0,3
2014-10-01,465,45,467,71,546,0,NA,0,2
2014-10-02,500,21,557,11,581,1,NA,1,3
2014-10-03,445,31,611,34,596,1,NA,1,3
2014-10-04,475,22,592,15,636,NA,NA,NA,3
2014-10-05,495,54,465,23,561,0,NA,0,4
2014-10-06,495,36,536,7,601,1,NA,1,3
2014-10-07,485,43,570,21,641,0,NA,0,3
2014-10-08,505,41,493,30,551,1,NA,1,3
2014-10-09,500,16,553,2,596,0,NA,0,2
2014-10-10,500,25,604,17,651,1,NA,1,3
2014-10-11,520,37,483,24,646,0,NA,0,3
2014-10-12,470,17,573,8,606,1,NA,1,2
2014-10-13,475,27,628,22,656,0,NA,0,3
2014-10-14,495,32,443,32,566,NA,NA,NA,4
2014-10-15,475,24,604,45,656,0,NA,0,3
2014-10-16,510,27,482,13,586,NA,NA,NA,3
2014-10-17,490,26,565,8,591,1,NA,1,3
2014-10-18,495,31,496,25,636,1,NA,1,4
2014-10-19,500,20,547,26,586,0,NA,0,3
2014-10-20,480,28,555,33,581,0,NA,0,4
2014-10-21,485,23,552,9,571,1,NA,1,4
2014-10-22,475,19,423,34,631,1,NA,1,3
2014-10-23,485,28,582,20,631,0,NA,0,3
2014-10-24,460,13,629,30,626,1,NA,1,4
2014-10-25,500,21,544,17,636,0,NA,0,4
2014-10-26,470,30,658,17,686,1,NA,1,3
2014-10-27,470,69,549,59,646,0,NA,0,2
2014-10-28,475,37,600,11,631,1,NA,1,3
2014-10-29,495,13,561,97,666,0,NA,0,3
2014-10-30,505,20,596,9,646,1,NA,1,3
2014-10-31,465,37,561,114,681,1,NA,1,3
2014-11-01,495,23,548,22,531,0,NA,0,4
2014-11-02,440,12,558,16,531,0,NA,0,3
2014-11-03,415,6,682,8,621,1,NA,1,3
2014-11-04,420,30,557,23,536,0,NA,0,4
2014-11-05,380,22,607,23,551,1,NA,1,3
2014-11-06,455,27,522,25,521,0,NA,0,3
2014-11-07,405,18,553,21,526,1,NA,1,3
2014-11-08,405,26,548,29,481,0,NA,0,3
2014-11-09,445,19,544,32,511,1,NA,1,2
2014-11-10,420,2,535,27,486,1,NA,1,3
2014-11-11,470,5,496,27,526,0,NA,0,3
2014-11-12,495,4,408,9,551,0,NA,0,4
2014-11-13,445,2,602,27,561,1,NA,1,3
2014-11-14,515,1,468,6,576,0,NA,0,3
2014-11-15,435,30,587,42,616,1,NA,1,3
2014-11-16,430,26,577,35,586,1,NA,1,4
2014-11-17,395,22,643,36,606,0,NA,0,3
2014-11-18,490,4,465,96,561,1,NA,1,3
2014-11-19,400,23,628,31,571,0,NA,0,3
2014-11-20,460,21,549,21,571,0,NA,0,4
2014-11-21,425,30,614,11,586,1,NA,1,4
2014-11-22,410,49,529,68,516,1,NA,1,3
2014-11-23,400,2,619,20,536,0,NA,0,3
2014-11-24,435,20,475,10,456,0,NA,0,4
2014-11-25,470,12,415,2,526,1,NA,1,3
2014-11-26,410,12,344,1,486,NA,NA,NA,4
2014-11-27,380,16,434,0,426,NA,NA,NA,4
2014-11-28,445,2,574,4,561,NA,NA,NA,3
2014-11-29,430,1,567,18,551,NA,NA,NA,4
2014-11-30,455,19,478,24,496,1,NA,1,4
2014-12-01,425,20,616,3,571,0,NA,0,4
2014-12-02,405,23,593,8,536,1,NA,1,3
2014-12-03,410,28,628,8,581,0,NA,0,3
2014-12-04,445,1,512,23,566,1,NA,1,4
2014-12-05,420,24,594,9,561,0,NA,0,4
2014-12-06,410,23,585,26,546,1,NA,1,3
2014-12-07,390,4,545,18,526,0,NA,0,3
2014-12-08,410,4,579,19,526,1,NA,1,3
2014-12-09,410,12,540,2,511,0,NA,0,4
2014-12-10,390,15,628,10,561,1,NA,1,3
2014-12-11,385,6,603,15,586,0,NA,0,4
2014-12-12,595,1,364,8,541,1,NA,1,3
2014-12-13,440,3,659,6,646,0,NA,0,3
2014-12-14,465,15,483,25,541,1,NA,1,4
2014-12-15,420,16,591,11,546,0,NA,0,3
2014-12-16,405,33,342,23,596,1,NA,1,4
2014-12-17,450,24,259,0,981,0,NA,0,3
2014-12-18,300,1,70,4,586,0,NA,0,3
2014-12-18,450,58,488,68,601,0,NA,0,3
2014-12-19,395,5,651,5,561,NA,NA,NA,4
2014-12-20,405,52,323,160,466,1,NA,1,3
2014-12-21,435,12,583,4,581,NA,NA,NA,2
2014-12-22,455,18,507,26,541,NA,NA,NA,4
2014-12-23,420,45,467,8,496,NA,NA,NA,2
2014-12-24,495,33,447,24,511,NA,NA,NA,3
2014-12-25,345,9,612,9,481,NA,NA,NA,3
2014-12-26,490,14,493,5,506,NA,NA,NA,3
2014-12-27,375,23,574,26,506,NA,NA,NA,4
2014-12-28,420,17,492,12,481,1,NA,1,3
2014-12-29,395,21,571,15,506,0,NA,0,4
2014-12-30,380,27,616,16,546,0,NA,0,4
2014-12-31,365,24,603,22,501,NA,NA,NA,3
2015-01-01,395,37,585,5,536,1,NA,1,4
2015-01-02,395,31,549,21,491,1,NA,1,4
2015-01-03,385,19,659,24,581,0,NA,0,3
2015-01-04,395,83,545,0,531,0,NA,0,3
2015-01-05,390,24,578,15,501,1,NA,1,3
2015-01-06,405,17,560,34,486,NA,NA,NA,4
2015-01-07,385,32,610,7,531,1,NA,1,4
2015-01-08,385,23,624,24,541,0,NA,0,4
2015-01-09,380,21,587,21,491,0,NA,0,4
2015-01-10,370,30,622,18,536,1,NA,1,4
2015-01-11,370,35,542,51,446,0,NA,0,3
2015-01-12,375,20,580,29,476,1,NA,1,3
2015-01-13,365,39,527,4,501,0,NA,0,3
2015-01-14,370,40,585,22,521,1,NA,1,4
2015-01-15,375,23,577,27,511,0,NA,0,3
2015-01-16,410,26,536,32,496,1,NA,1,3
2015-01-17,390,22,581,9,511,NA,NA,NA,3
2015-01-18,390,25,627,8,571,1,NA,1,4
2015-01-19,410,44,582,14,541,0,NA,0,3
2015-01-20,360,48,620,4,541,0,NA,0,3
2015-01-21,440,20,522,7,486,NA,NA,NA,3
2015-01-22,450,35,564,47,606,1,NA,1,3
2015-01-23,390,24,572,21,511,NA,NA,NA,3
2015-01-24,410,46,623,10,571,0,NA,0,3
2015-01-25,430,42,471,21,561,1,NA,1,3
2015-01-26,410,14,663,17,576,0,NA,0,4
2015-01-27,415,24,584,26,546,1,NA,1,3
2015-01-28,380,12,677,4,596,NA,NA,NA,4
2015-01-29,385,30,608,23,566,0,NA,0,4
2015-01-30,410,18,618,5,561,1,NA,1,4
2015-01-31,420,11,531,8,526,NA,NA,NA,3
2015-02-01,395,29,514,18,496,NA,NA,NA,4
2015-02-02,380,27,577,23,551,1,NA,1,3
2015-02-03,430,19,540,15,541,0,NA,0,2
2015-02-04,395,25,482,3,536,1,NA,1,4
2015-02-05,480,95,329,14,586,0,NA,0,4
2015-02-06,515,2,403,10,551,1,NA,1,4
2015-02-07,505,8,497,25,551,0,NA,0,3
2015-02-08,400,27,571,12,561,1,NA,1,4
2015-02-09,395,28,526,139,576,NA,NA,NA,3
2015-02-10,420,31,622,9,586,NA,NA,NA,3
2015-02-11,405,34,493,51,561,0,NA,0,4
2015-02-12,380,11,587,18,486,0,NA,0,3
2015-02-13,395,18,546,28,521,1,NA,1,3
2015-02-14,405,22,561,5,541,1,NA,1,3
2015-02-15,390,31,536,8,531,0,NA,0,4
2015-02-16,420,1,459,15,536,1,NA,1,4
2015-02-17,380,16,586,13,546,0,NA,0,3
2015-02-18,NA,NA,NA,NA,NA,1,NA,1,4
2015-02-19,400,24,589,5,526,0,NA,0,4
2015-02-20,380,20,533,51,491,0,NA,0,4
2015-02-21,385,31,580,18,506,NA,NA,NA,3
2015-02-22,385,20,629,6,541,1,NA,1,3
2015-02-23,400,19,525,13,461,1,NA,1,3
2015-02-24,385,32,568,7,521,0,NA,0,4
2015-02-25,380,27,483,46,486,0,NA,0,4
2015-02-26,390,20,570,22,491,1,NA,1,4
2015-02-27,390,17,541,18,496,1,NA,1,4
2015-02-28,410,30,490,51,501,0,NA,0,4
2015-03-01,390,37,574,35,546,1,NA,1,3
2015-03-02,380,29,503,37,511,0,NA,0,4
2015-03-03,385,16,572,30,506,0,NA,0,4
2015-03-04,385,18,578,14,521,1,NA,1,3
2015-03-05,380,27,458,88,546,1,NA,1,3
2015-03-06,375,16,523,8,541,0,NA,0,2
2015-03-07,370,33,499,65,556,1,NA,1,3
2015-03-08,445,23,417,88,471,0,NA,0,3
2015-03-09,450,28,559,74,596,1,NA,1,3
2015-03-10,450,15,606,38,601,0,NA,0,3
2015-03-11,510,2,552,33,606,1,NA,1,2
2015-03-12,440,2,533,44,601,0,NA,0,3
2015-03-13,575,1,282,7,516,1,NA,1,3
2015-03-14,445,33,536,49,556,0,NA,0,2
2015-03-15,505,25,558,34,626,0,NA,0,2
2015-03-16,530,2,566,19,641,NA,NA,NA,3
2015-03-17,465,26,582,75,616,1,NA,1,3
2015-03-18,460,24,590,22,581,1,NA,1,3
2015-03-19,455,21,591,29,596,0,NA,0,3
2015-03-20,435,2,638,22,626,0,NA,0,2
2015-03-21,450,30,562,31,591,1,NA,1,3
2015-03-22,440,25,608,45,611,0,NA,0,4
2015-03-23,440,44,591,11,591,NA,NA,NA,3
2015-03-24,455,35,549,44,571,1,NA,1,3
2015-03-25,435,29,631,58,616,1,NA,1,3
2015-03-26,435,44,584,94,631,NA,NA,NA,2
2015-03-27,455,37,571,69,596,0,NA,0,2
2015-03-28,465,35,589,31,611,1,NA,1,3
2015-03-29,450,10,525,51,566,0,NA,0,3
2015-03-30,500,2,467,23,551,0,NA,0,4
2015-03-31,505,1,479,17,601,NA,NA,NA,4
2015-04-01,460,17,602,32,596,1,NA,1,4
2015-04-02,470,2,468,88,541,1,NA,1,3
2015-04-03,445,11,637,7,606,NA,NA,NA,3
2015-04-04,500,2,554,12,566,0,NA,0,2
