"levelName","cancel_e","n_e","cancel_c","n_c","loss","P","profit"
"     ¦       ¦       °--Canceled                                                ",0,0,1,3,-14.59,0.249692747987163,-26.3872547989023
"     ¦       ¦           °--Control                                             ",0,0,1,3,NA,NA,-11.7972547989023
"     ¦       ¦               ¦--Not.c                                           ",0,0,1,4,5.7,0.599319414240579,0.790023419474378
"     ¦       ¦               ¦   °--Control                                     ",0,0,1,4,NA,NA,-4.90997658052562
"     ¦       ¦               ¦       ¦--Not.c                                   ",0,0,1,5,5.7,0.666042815489928,5.34538220816919
"     ¦       ¦               ¦       ¦   °--Control                             ",0,0,1,5,NA,NA,-0.354617791830807
"     ¦       ¦               ¦       ¦       ¦--Not.c                           ",0,0,1,6,5.7,0.715628568580978,7.57152531305757
"     ¦       ¦               ¦       ¦       ¦   °--Control                     ",0,0,1,6,NA,NA,1.87152531305757
"     ¦       ¦               ¦       ¦       ¦       ¦--Not.c                   ",0,0,1,7,5.7,0.7499937693033,8.07045690463925
"     ¦       ¦               ¦       ¦       ¦       ¦   °--Control             ",0,0,1,7,NA,NA,2.37045690463925
"     ¦       ¦               ¦       ¦       ¦       ¦       ¦--Not.c           ",0,0,1,8,5.7,0.777391566986833,7.33932541755811
"     ¦       ¦               ¦       ¦       ¦       ¦       ¦   °--Control     ",0,0,1,8,NA,NA,1.63932541755811
"     ¦       ¦               ¦       ¦       ¦       ¦       ¦       ¦--Not.c   ",0,0,1,9,5.7,0.799868182235491,5.7
"     ¦       ¦               ¦       ¦       ¦       ¦       ¦       °--Canceled",0,0,2,9,-14.59,0.200131817764509,-14.59
"     ¦       ¦               ¦       ¦       ¦       ¦       °--Canceled        ",0,0,2,8,-14.59,0.222608433013167,-14.9817899402997
"     ¦       ¦               ¦       ¦       ¦       ¦           °--Control     ",0,0,2,8,NA,NA,-0.391789940299724
"     ¦       ¦               ¦       ¦       ¦       ¦               ¦--Not.c   ",0,0,2,9,5.7,0.699763926057185,5.7
"     ¦       ¦               ¦       ¦       ¦       ¦               °--Canceled",0,0,3,9,-14.59,0.300236073942815,-14.59
"     ¦       ¦               ¦       ¦       ¦       °--Canceled                ",0,0,2,7,-14.59,0.2500062306967,-16.7246514984871
"     ¦       ¦               ¦       ¦       ¦           °--Control             ",0,0,2,7,NA,NA,-2.13465149848708
"     ¦       ¦               ¦       ¦       ¦               ¦--Not.c           ",0,0,2,8,5.7,0.666335150175829,5.31048775304428
"     ¦       ¦               ¦       ¦       ¦               ¦   °--Control     ",0,0,2,8,NA,NA,-0.389512246955722
"     ¦       ¦               ¦       ¦       ¦               ¦       ¦--Not.c   ",0,0,2,9,5.7,0.699876182998732,5.7
"     ¦       ¦               ¦       ¦       ¦               ¦       °--Canceled",0,0,3,9,-14.59,0.300123817001268,-14.59
"     ¦       ¦               ¦       ¦       ¦               °--Canceled        ",0,0,3,8,-14.59,0.333664849824171,-17.0027383942549
"     ¦       ¦               ¦       ¦       ¦                   °--Control     ",0,0,3,8,NA,NA,-2.4127383942549
"     ¦       ¦               ¦       ¦       ¦                       ¦--Not.c   ",0,0,3,9,5.7,0.600160749420655,5.7
"     ¦       ¦               ¦       ¦       ¦                       °--Canceled",0,0,4,9,-14.59,0.399839250579345,-14.59
"     ¦       ¦               ¦       ¦       °--Canceled                        ",0,0,2,6,-14.59,0.284371431419022,-20.3009760325828
"     ¦       ¦               ¦       ¦           °--Control                     ",0,0,2,6,NA,NA,-5.71097603258278
"     ¦       ¦               ¦       ¦               ¦--Not.c                   ",0,0,2,7,5.7,0.624298225766433,3.60205338066536
"     ¦       ¦               ¦       ¦               ¦   °--Control             ",0,0,2,7,NA,NA,-2.09794661933464
"     ¦       ¦               ¦       ¦               ¦       ¦--Not.c           ",0,0,2,8,5.7,0.667286165149335,5.32844807517755
"     ¦       ¦               ¦       ¦               ¦       ¦   °--Control     ",0,0,2,8,NA,NA,-0.371551924822446
"     ¦       ¦               ¦       ¦               ¦       ¦       ¦--Not.c   ",0,0,2,9,5.7,0.700761363981151,5.7
"     ¦       ¦               ¦       ¦               ¦       ¦       °--Canceled",0,0,3,9,-14.59,0.299238636018849,-14.59
"     ¦       ¦               ¦       ¦               ¦       °--Canceled        ",0,0,3,8,-14.59,0.332713834850665,-16.9922188662661
"     ¦       ¦               ¦       ¦               ¦           °--Control     ",0,0,3,8,NA,NA,-2.40221886626613
"     ¦       ¦               ¦       ¦               ¦               ¦--Not.c   ",0,0,3,9,5.7,0.600679208168254,5.7
