"Date","Pageviews","Ads"
2015-05-26,2084,TRUE
2015-05-27,2217,TRUE
2015-05-28,1939,TRUE
2015-05-29,1881,TRUE
2015-05-30,2198,TRUE
2015-05-31,1896,TRUE
2015-06-01,2400,TRUE
2015-06-02,2105,TRUE
2015-06-03,3710,TRUE
2015-06-04,2197,TRUE
2015-06-05,2031,TRUE
2015-06-06,1705,TRUE
2015-06-07,2020,TRUE
2015-06-08,1900,TRUE
2015-06-09,1917,TRUE
2015-06-10,1859,TRUE
2015-06-11,1673,TRUE
2015-06-12,1900,TRUE
2015-06-13,1438,TRUE
2015-06-14,1439,TRUE
2015-06-15,1514,TRUE
2015-06-16,1566,TRUE
2015-06-17,1678,TRUE
2015-06-18,1933,TRUE
2015-06-19,1819,TRUE
2015-06-20,1524,TRUE
2015-06-21,1562,TRUE
2015-06-22,1874,TRUE
2015-06-23,1665,TRUE
2015-06-24,1519,TRUE
2015-06-25,1642,TRUE
2015-06-26,1475,TRUE
2015-06-27,1309,TRUE
2015-06-28,1754,TRUE
2015-06-29,1570,TRUE
2015-06-30,1329,TRUE
2015-07-01,1552,TRUE
2015-07-02,1538,TRUE
2015-07-03,1419,TRUE
2015-07-04,1632,TRUE
2015-07-05,2258,TRUE
2015-07-06,1795,TRUE
2015-07-07,1797,TRUE
2015-07-08,1717,TRUE
2015-07-09,1751,TRUE
2015-07-10,1603,TRUE
2015-07-11,1562,TRUE
2015-07-12,2085,TRUE
2015-07-13,1676,TRUE
2015-07-14,1760,TRUE
2015-07-15,13764,TRUE
2015-07-16,23171,TRUE
2015-07-17,5156,TRUE
2015-07-18,2872,TRUE
2015-07-19,3210,TRUE
2015-07-20,3552,TRUE
2015-07-21,2882,TRUE
2015-07-22,2327,TRUE
2015-07-23,2162,TRUE
2015-07-24,1821,TRUE
2015-07-25,1724,TRUE
2015-07-26,1671,TRUE
2015-07-27,2241,TRUE
2015-07-28,2511,TRUE
2015-07-29,2090,TRUE
2015-07-30,1640,TRUE
2015-07-31,1552,TRUE
2015-08-01,1672,TRUE
2015-08-02,1626,TRUE
2015-08-03,2004,TRUE
2015-08-04,1826,TRUE
2015-08-05,9812,TRUE
2015-08-06,14793,TRUE
2015-08-07,2991,TRUE
2015-08-08,1549,TRUE
2015-08-09,1923,TRUE
2015-08-10,4835,TRUE
2015-08-11,3408,TRUE
2015-08-12,2252,TRUE
2015-08-13,1683,TRUE
2015-08-14,2041,TRUE
2015-08-15,1493,TRUE
2015-08-16,1702,TRUE
2015-08-17,1660,TRUE
2015-08-18,1770,TRUE
2015-08-19,2279,TRUE
2015-08-20,4535,TRUE
2015-08-21,3278,TRUE
2015-08-22,3112,TRUE
2015-08-23,3539,TRUE
