ID,Name,Parent.ID,Parent.Name,Total.Transactions,Payment.BTC,Payment.USD.equivalent,Commission.BTC,Commission.USD.equivalent
319,Storage,127,Drug paraphernalia,567,246.71,10633,18.39,818
227,Grinders,127,Drug paraphernalia,542,317.09,8982,23.53,693
469,Tests Reagents,127,Drug paraphernalia,201,37.74,2753,2.72,197
167,Bongs,127,Drug paraphernalia,110,230.52,6271,20.41,502
222,Rolling Supplies,127,Drug paraphernalia,68,14.75,507,.85,27
470,Syringes,127,Drug paraphernalia,52,7.57,926,.55,67
473,Machinery,127,Drug paraphernalia,7,4.68,491,.37,37
217,Glass,128,Pipes,619,650.27,14493,47.65,973
219,Metal,128,Pipes,307,208.41,4312,13.62,270
221,Other,128,Pipes,3,3.11,48,.20,3
220,Ceramic,128,Pipes,5,.87,109,.07,9
218,Wooden,128,Pipes,10,11.58,202,.84,15
261,Kink,129,Erotica,76,7.90,99,.73,9
263,Lubes & Lotions,129,Erotica,4,1.53,37,.12,3
260,Toys,129,Erotica,1,2.32,79,.21,7
133,Medical supplies,130,Medical,621,703.36,11857,47.29,796
131,Pharmaceuticals,130,Medical,194,451.30,17767,37.73,1407
132,Medical equipment,130,Medical,2,.20,21,.02,2
187,Antibiotics,131,Pharmaceuticals,86,210.20,4340,16.75,331
186,Blotter,136,Art,35,33.38,1429,2.65,111
234,Clothing,137,Apparel,325,902.38,36490,64.03,2443
233,Watches,137,Apparel,267,1316.54,48346,93.47,3439
236,Sunglasses,137,Apparel,512,2102.48,28491,131.87,1936
235,Handbags,137,Apparel,24,138.48,3578,9.26,246
310,Vinyl,138,Collectibles,6,.74,86,.06,7
317,Video Games,142,Media,90,2.55,64,.18,7
433,Clenbuterol,144,Steroids PEDs,664,2059.24,85403,159.65,6431
432,Aromatase inhibitors,144,Steroids PEDs,486,701.95,44196,56.10,3603
456,Antagonists,144,Steroids PEDs,450,979.88,42758,81.11,3405
452,Growth hormones,144,Steroids PEDs,219,1143.82,74032,67.30,4685
464,HCG,144,Steroids PEDs,172,319.30,18630,25.30,1474
439,24-Dinitrophenol,144,Steroids PEDs,116,133.37,8708,11.50,729
443,Anabolic steroids,144,Steroids PEDs,64,54.68,6508,4.81,581
455,Agonists,144,Steroids PEDs,34,39.06,3724,3.36,318
213,25I-NBOMe,146,NBOMe,22860,74897.44,2065497,5696.39,146858
216,25C-NBOMe,146,NBOMe,7569,24984.24,533553,1931.15,38875
215,25B-NBOMe,146,NBOMe,1171,1455.11,99485,113.62,7355
214,25D-NBOMe,146,NBOMe,91,478.91,5307,33.31,385
525,25N-NBOMe,146,NBOMe,31,44.50,2165,3.73,172
151,Fake IDs,150,Forgeries,3642,24291.36,699053,1774.82,48868
152,Passports,150,Forgeries,103,10419.95,105292,305.18,2831
312,Dissolved,161,GHB,1491,1567.47,58175,142.35,4697
311,Dry,161,GHB,1684,3817.52,163185,318.32,12641
161,GHB,162,Intoxicants,2030,8519.50,150890,718.89,11749
478,GBL,162,Intoxicants,557,2346.53,82193,168.10,5740
64,Alcohol,162,Intoxicants,142,176.22,9542,12.88,686
46,2C-B,164,2C family,11752,46667.37,958884,3448.59,71174
47,2C-E,164,2C family,2303,7760.53,116148,580.46,8602
104,2C-I,164,2C family,969,3121.97,67043,236.90,4726
165,2C-P,164,2C family,499,1521.27,21334,120.31,1582
157,2C-T-7,164,2C family,141,275.07,6974,25.40,596
203,2C-D,164,2C family,86,83.52,5312,7.41,449
148,2C-C,164,2C family,216,666.72,9798,56.43,812
189,2C-T-2,164,2C family,99,237.03,6436,18.17,411
190,2C-T-4,164,2C family,20,55.13,639,4.03,47
322,2C-B-FLY,164,2C family,6,21.42,834,1.82,65
535,Paste,168,Speed,7296,14160.71,875113,1109.46,66550
536,Powder,168,Speed,2057,1827.71,139295,159.70,11573
534,Pills,168,Speed,740,3173.90,180890,195.71,11394
200,4-HO-MET,176,4-HO family,142,304.33,18129,22.51,1125
177,4-HO-MiPT,176,4-HO family,113,322.83,8899,27.19,648
179,4-HO-DiPT,176,4-HO family,11,4.63,550,.45,49
192,2-FMA,191,FMAs,223,188.77,13585,15.73,1156
194,4-FMA,191,FMAs,126,100.36,7240,8.01,586
198,4-FA,195,FAs,1068,2021.43,60558,169.97,4498
197,3-FA,195,FAs,65,48.91,3216,4.23,275
196,2-FA,195,FAs,64,276.27,5305,11.92,299
223,Papers,222,Rolling Supplies,467,166.77,4015,10.86,257
224,Blunt Wraps,222,Rolling Supplies,264,46.24,1705,3.10,94
225,Cones,222,Rolling Supplies,29,26.44,379,1.81,25
226,Misc.,222,Rolling Supplies,8,5.32,154,.50,11
559,Shoes,234,Clothing,2,1.35,175,.11,15
560,Belts,234,Clothing,2,.73,88,.06,8
293,Adderall,239,Stimulants,9790,47992.65,1262878,3754.58,94774
398,Modafinil,239,Stimulants,3610,5149.44,271375,450.98,22276
395,Methylphenidate,239,Stimulants,147,174.82,16871,13.80,1333
387,Amphetamine,239,Stimulants,27,37.00,4095,3.12,345
331,Fluoxetine,239,Stimulants,40,46.10,1227,3.55,91
392,Dexmethylphenidate,239,Stimulants,13,1.47,153,.16,16
366,Oxycodone,240,Pain Relief,8319,71947.29,2139820,4491.11,142015
283,Tramadol,240,Pain Relief,5586,16115.29,467094,1327.86,37212
361,Hydrocodone,240,Pain Relief,2561,4805.43,408050,392.12,32755
